    610 nm    0.5030000   0.4904600   0.4780300   0.4656700   0.4534000
    615 nm    0.4412000   0.4290800   0.4170300   0.4050300   0.3930300
    620 nm    0.3810000   0.3689100   0.3568200   0.3447700   0.3328100
    625 nm    0.3200000   0.3093300   0.2978500   0.2865900   0.2756200
    630 nm    0.2650000   0.2547600   0.2448800   0.2353300   0.2260500
    635 nm    0.2170000   0.2081600   0.1995400   0.1911500   0.1829700
    640 nm    0.1750000   0.1672200   0.1596400   0.1522700   0.1451200
    645 nm    0.1382000   0.1315000   0.1250200   0.1187700   0.1127600
    650 nm    0.1070000   0.1014700   0.0962000   0.0911000   0.0863000
    655 nm    0.0816000   0.0771000   0.0728000   0.0687000   0.0648000
    660 nm    0.0610000   0.0574000   0.0540000   0.0507000   0.0475000
    665 nm    0.0446000   0.0418000   0.0391000   0.0366000   0.0342000
    670 nm    0.0320000   0.0300000   0.0281000   0.0263000   0.0247000
    675 nm    0.0232000   0.0218000   0.0205000   0.0193000   0.0181000
    680 nm    0.0170000   0.0159000   0.0148000   0.0138000   0.0128000
    685 nm    0.0119000   0.0111000   0.0103000   0.0095300   0.0088500
    690 nm    0.0082100   0.0076200   0.0070900   0.0065900   0.0061400
    695 nm    0.0057200   0.0053400   0.0050000   0.0046800   0.0043800
    700 nm    0.0041000   0.0038400   0.0035900   0.0033500   0.0031300
    705 nm    0.0029300   0.0027400   0.0025600   0.0023900   0.0022400
    710 nm    0.0020900   0.0019500   0.0018200   0.0017000   0.0015900
    715 nm    0.0014800   0.0013800   0.0012900   0.0012000   0.0011200
    720 nm    0.0010500   0.0009770   0.0009110   0.0008500   0.0007930
    725 nm    0.0007400   0.0006900   0.0006430   0.0005990   0.0005580
    730 nm    0.0005200   0.0004840   0.0004500   0.0004180   0.0003890
    735 nm    0.0003610   0.0003350   0.0003110   0.0002890   0.0002680
    740 nm    0.0002490   0.0002310   0.0002150   0.0001990   0.0001850
    745 nm    0.0001720   0.0001510   0.0001490   0.0001380   0.0001290
    750 nm    0.0001200   0.0001120   0.0001040   0.0000973   0.0000908
    755 nm    0.0000848   0.0000791   0.0000739   0.0000689   0.0000643
    760 nm    0.0000600   0.0000560   0.0000522   0.0000487   0.0000454
    765 nm    0.0000424   0.0000396   0.0000369   0.0000345   0.0000321
    770 nm    0.0000300   0.0000280   0.0000261   0.0000244   0.0000227
    775 nm    0.0000212   0.0000198   0.0000185   0.0000172   0.0000161
    780 nm    0.0000150
